date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:28	5421/5421	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-152d%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/register-2.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/register-2.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:28	2604/2604	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-a2c%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/lock-screen.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/lock-screen.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:28	2618/2618	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-a3a%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/error-404.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/error-404.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:29	2593/2593	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-a21%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/error-500.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/error-500.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:29	33708/33708	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-83ac%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/blank-page.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/blank-page.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:29	44650/44650	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-ae6a%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/profile.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/profile.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:30	47373/47373	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-b90d%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/faq.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/faq.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:30	53921/53921	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-d2a1%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/faq-2.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/faq-2.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:30	38044/38044	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-949c%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/news-grid.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/news-grid.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:31	41080/41080	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-a078%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/timeline.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/timeline.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
